4.63325	4.30357	4.10477	3.88005	3.65685	3.47802	3.24323	3.07754	2.90124	2.73899	2.62163	2.48279	2.382	2.29267	2.22285	2.14989	2.13314	2.10444	2.10244	2.13331	2.16206	2.24259	2.32315	2.41509	2.52047	2.64067	2.77183	2.93467	3.06782	3.20699	3.43774	3.58856	3.81622	4.04652	4.27874	
4.51473	4.18735	3.90244	3.69655	3.48657	3.25597	3.08448	2.9029	2.74239	2.60112	2.48294	2.34568	2.23648	2.1559	2.07696	2.01876	1.97617	1.97529	1.96624	2.00262	2.03626	2.1046	2.17645	2.28224	2.38172	2.49764	2.61636	2.76735	2.91741	3.07847	3.25307	3.45175	3.63826	3.83275	4.13094	
4.30492	4.0101	3.75373	3.52694	3.32458	3.09928	2.95207	2.75328	2.61567	2.46917	2.33074	2.20585	2.11764	2.02106	1.93653	1.88604	1.8521	1.84573	1.84169	1.87719	1.91746	1.96704	2.04647	2.14935	2.24134	2.37196	2.4835	2.62046	2.77742	2.92741	3.10688	3.27061	3.46346	3.67124	3.95018	
4.1204	3.84597	3.57385	3.38372	3.18619	2.96944	2.802	2.6331	2.48228	2.33938	2.21143	2.10261	1.99404	1.89726	1.8206	1.76664	1.73107	1.7221	1.72138	1.74913	1.79255	1.8559	1.93297	2.0238	2.13966	2.2563	2.36382	2.50306	2.65087	2.79529	2.96083	3.13878	3.31338	3.52515	3.76062	
3.97912	3.67352	3.45079	3.22871	3.03946	2.84513	2.68949	2.52045	2.37771	2.22822	2.11008	1.98158	1.87595	1.79756	1.70581	1.65064	1.6086	1.60065	1.60972	1.6331	1.67644	1.74549	1.82181	1.92304	2.02313	2.13611	2.26352	2.37331	2.53257	2.6819	2.83198	3.02295	3.18603	3.39218	3.61694	
3.78686	3.51637	3.29487	3.07679	2.90551	2.73203	2.55954	2.40355	2.25678	2.12378	1.98662	1.86723	1.76994	1.6771	1.60034	1.54786	1.50811	1.50038	1.50093	1.52111	1.56858	1.63366	1.71679	1.81224	1.92283	2.03581	2.15383	2.27387	2.41568	2.57693	2.72125	2.88299	3.05829	3.2549	3.48507	
3.66087	3.37332	3.15339	2.95867	2.79786	2.62818	2.46426	2.30956	2.16804	2.02235	1.89171	1.76068	1.67157	1.57503	1.50302	1.4449	1.40674	1.39545	1.39209	1.41601	1.46868	1.53958	1.61375	1.70962	1.80869	1.93644	2.05781	2.18088	2.31623	2.46609	2.61904	2.7802	2.94982	3.12088	3.34424	
3.55068	3.29532	3.05167	2.87304	2.68582	2.52054	2.3529	2.22034	2.06252	1.92539	1.79272	1.66728	1.56461	1.47529	1.407	1.34365	1.31104	1.29026	1.29925	1.32335	1.37354	1.4334	1.5188	1.6102	1.71667	1.83706	1.96225	2.09735	2.23154	2.37033	2.51792	2.67368	2.86243	3.02477	3.23721	
3.40288	3.14771	2.94233	2.75967	2.59046	2.4201	2.27766	2.10398	1.95694	1.83583	1.69866	1.58004	1.47865	1.39797	1.31527	1.25912	1.21927	1.20415	1.21208	1.23645	1.28759	1.34794	1.42855	1.52889	1.63211	1.7596	1.87104	2.01044	2.15366	2.27821	2.42084	2.58867	2.73173	2.91949	3.15473	
3.3663	3.04808	2.85921	2.67098	2.51157	2.34464	2.20656	2.04096	1.89097	1.75044	1.62516	1.50999	1.40177	1.3181	1.24309	1.18235	1.14497	1.13252	1.13789	1.16056	1.21247	1.28158	1.35709	1.44665	1.55609	1.67074	1.7933	1.93558	2.06938	2.22065	2.35639	2.51456	2.66214	2.8488	3.07752	
